training_step, return
89157,150.0
89321,0.0
89476,0.0
89648,0.0
89807,0.0
89983,0.0
90197,50.0
90348,50.0
90550,50.0
90732,50.0
90897,0.0
91087,0.0
91279,50.0
91443,0.0
91613,50.0
91846,50.0
92086,0.0
92254,50.0
92474,100.0
92628,0.0
92787,0.0
92993,0.0
93215,150.0
93418,0.0
93573,0.0
93776,0.0
93931,0.0
94154,100.0
94362,50.0
94563,0.0
94728,0.0
94966,50.0
95157,50.0
95335,50.0
95501,0.0
95683,0.0
95863,50.0
96061,100.0
96334,100.0
96501,50.0
96748,50.0
96926,50.0
97104,100.0
97259,50.0
97507,100.0
97685,0.0
97886,0.0
98107,50.0
98363,50.0
98538,50.0
98741,50.0
98903,0.0
99121,50.0
99282,0.0
99508,50.0
99656,0.0
99851,100.0
100062,0.0
100289,0.0
100514,0.0
100771,50.0
100945,0.0
101103,0.0
101272,0.0
101426,0.0
101585,0.0
101807,50.0
101985,50.0
102190,50.0
102391,0.0
102566,50.0
102724,50.0
102953,100.0
103124,50.0
103279,0.0
103458,0.0
103764,50.0
103985,50.0
104196,50.0
104348,0.0
104594,50.0
104796,0.0
104962,0.0
105139,0.0
105366,100.0
105501,0.0
105675,0.0
105883,0.0
106048,0.0
106226,50.0
106386,0.0
106594,0.0
106751,0.0
106953,0.0
107108,50.0
107270,0.0
107489,50.0
107643,0.0
107864,50.0
108125,50.0
108284,50.0
108494,100.0
108689,100.0
108843,50.0
108996,0.0
109174,0.0
109409,50.0
109602,0.0
109760,0.0
109917,0.0
110068,0.0
110237,0.0
110458,50.0
110627,150.0
110870,0.0
111021,0.0
111236,50.0
111420,50.0
111627,100.0
111783,0.0
112026,250.0
112202,50.0
112376,50.0
112591,100.0
112843,0.0
113122,0.0
113295,0.0
113602,150.0
113874,100.0
114075,50.0
114232,0.0
114425,50.0
114631,50.0
114791,50.0
114923,0.0
115102,0.0
115310,50.0
115526,0.0
115688,0.0
115843,0.0
116032,50.0
116249,50.0
116538,0.0
116716,100.0
116896,0.0
117082,50.0
117291,50.0
117443,0.0
117603,50.0
117809,50.0
117985,0.0
118184,50.0
118453,50.0
118614,0.0
118770,50.0
118993,0.0
119242,0.0
119463,50.0
119710,50.0
119866,0.0
120024,0.0
120200,0.0
120401,50.0
120556,50.0
120755,50.0
120926,0.0
121081,0.0
121323,150.0
121500,0.0
121698,50.0
121900,0.0
122038,0.0
122195,0.0
122443,0.0
122602,0.0
122762,0.0
122937,0.0
123077,0.0
123243,0.0
123399,0.0
123568,0.0
123729,50.0
123953,50.0
124109,0.0
124437,150.0
124675,0.0
124887,50.0
125106,100.0
125310,100.0
125589,100.0
125794,0.0
125996,50.0
126157,0.0
126308,0.0
126532,0.0
126711,50.0
126957,0.0
127136,50.0
127355,0.0
127525,0.0
127700,0.0
127884,50.0
128109,0.0
128257,0.0
128410,0.0
128567,0.0
128834,50.0
129051,150.0
129279,50.0
129472,50.0
129626,50.0
129810,0.0
129994,50.0
130258,50.0
130421,0.0
130680,100.0
130877,100.0
131155,0.0
131324,100.0
131504,0.0
131718,50.0
131931,100.0
132096,250.0
132254,0.0
132430,100.0
132588,0.0
132746,0.0
132908,50.0
133221,150.0
133392,50.0
133681,50.0
133861,50.0
134042,0.0
134241,100.0
134447,50.0
134659,50.0
134899,100.0
135122,100.0
135304,0.0
135458,100.0
135640,50.0
135793,50.0
135951,0.0
136113,100.0
136310,50.0
136474,0.0
136686,0.0
136887,50.0
137109,50.0
137313,0.0
137489,50.0
137694,0.0
137877,0.0
138087,50.0
138249,0.0
138384,0.0
138626,50.0
138826,0.0
138994,50.0
139217,50.0
139372,100.0
139638,0.0
139838,0.0
140099,0.0
140392,100.0
140542,0.0
140701,0.0
140921,100.0
141146,0.0
141369,100.0
141548,0.0
141805,150.0
142013,100.0
142173,0.0
142440,100.0
142683,100.0
142863,0.0
143143,150.0
143311,0.0
143515,0.0
143721,50.0
143967,0.0
144169,0.0
144379,100.0
144587,0.0
144889,150.0
145049,0.0
145207,0.0
145364,0.0
145546,0.0
145864,50.0
146106,50.0
146283,0.0
146461,50.0
146704,50.0
146911,0.0
147091,0.0
147263,0.0
147408,0.0
147651,50.0
147826,50.0
148011,0.0
148171,0.0
148345,50.0
148553,0.0
148767,50.0
149037,50.0
149211,0.0
149415,0.0
149573,50.0
149731,0.0
149896,50.0
150098,100.0
150366,100.0
150561,0.0
150714,100.0
150936,0.0
151216,50.0
151435,100.0
151639,50.0
151790,0.0
152042,50.0
152210,0.0
152372,0.0
152575,50.0
152754,50.0
152983,0.0
153280,50.0
153460,100.0
153618,0.0
153885,50.0
154089,50.0
154244,0.0
154403,50.0
154568,0.0
154754,50.0
154914,0.0
155133,100.0
155374,50.0
155608,100.0
155768,0.0
155927,0.0
156090,50.0
156242,50.0
156485,0.0
156648,0.0
156918,50.0
157204,0.0
157433,150.0
157741,50.0
157916,50.0
158096,0.0
158279,50.0
158512,50.0
158745,50.0
158910,50.0
159187,300.0
159336,0.0
159590,100.0
159968,50.0
160137,0.0
160374,150.0
160536,0.0
160730,50.0
160883,0.0
161084,100.0
161267,0.0
161498,150.0
161648,50.0
161829,0.0
162051,100.0
162263,50.0
162433,0.0
162614,50.0
162881,100.0
163100,100.0
163281,50.0
163445,100.0
163626,50.0
163807,0.0
163990,0.0
164219,50.0
164455,50.0
164622,50.0
164793,50.0
165046,200.0
165234,0.0
165411,50.0
165705,200.0
165885,0.0
166094,0.0
166305,50.0
166544,50.0
166726,50.0
166900,50.0
167077,50.0
167249,100.0
167488,50.0
167749,0.0
167904,0.0
168112,50.0
168376,100.0
168574,0.0
168776,0.0
169034,100.0
169211,0.0
169519,50.0
169703,50.0
169865,0.0
170051,100.0
170215,0.0
170403,0.0
170621,150.0
170776,0.0
170977,50.0
171150,0.0
171311,50.0
171575,100.0
171819,50.0
171975,0.0
172135,100.0
172284,50.0
172508,100.0
172683,50.0
172834,0.0
173033,100.0
173191,0.0
173350,0.0
173544,0.0
173713,0.0
173872,0.0
174082,0.0
174235,0.0
174387,0.0
174576,150.0
174798,50.0
174967,50.0
175122,0.0
175283,100.0
175451,0.0
175608,0.0
175814,100.0
176059,50.0
176233,50.0
176408,50.0
176579,100.0
176829,100.0
177062,50.0
177275,100.0
177428,0.0
177606,0.0
177774,50.0
177975,100.0
178131,0.0
178381,100.0
178577,0.0
178735,0.0
178870,0.0
179118,100.0
179365,50.0
179543,0.0
179699,50.0
179951,50.0
180211,50.0
180395,50.0
180626,50.0
180833,100.0
181002,0.0
181223,100.0
181459,150.0
181620,0.0
181833,100.0
182045,0.0
182203,0.0
182367,0.0
182624,50.0
182847,0.0
183202,250.0
183507,150.0
183668,0.0
183831,0.0
184008,50.0
184278,0.0
184502,100.0
184692,100.0
184892,0.0
185124,50.0
185300,0.0
185473,100.0
185630,0.0
185785,50.0
185934,0.0
186186,50.0
186384,50.0
186582,50.0
186742,0.0
186968,50.0
187178,50.0
187386,0.0
187606,50.0
187897,200.0
188051,0.0
188209,0.0
188396,0.0
188606,0.0
188766,0.0
189023,100.0
189170,50.0
189379,50.0
189622,0.0
189790,0.0
190088,150.0
190304,0.0
190523,50.0
190679,0.0
190843,50.0
191043,50.0
191201,100.0
191406,50.0
191563,0.0
191735,0.0
191888,0.0
192106,150.0
192365,100.0
192600,100.0
192805,100.0
193021,50.0
193284,150.0
193503,50.0
193709,50.0
193908,100.0
194105,50.0
194258,0.0
194414,0.0
194594,0.0
194754,0.0
194956,50.0
195160,100.0
195420,100.0
195681,50.0
195889,50.0
196093,100.0
196263,150.0
196450,0.0
196634,0.0
196790,0.0
196970,0.0
197194,100.0
197350,0.0
197555,50.0
197782,150.0
197991,0.0
198145,0.0
198325,150.0
198528,0.0
198734,50.0
198889,0.0
199109,0.0
199356,150.0
199513,0.0
199665,0.0
199819,50.0
200031,100.0
200252,100.0
200485,0.0
200706,0.0
200953,150.0
201105,0.0
201261,0.0
201398,50.0
201585,100.0
201723,0.0
201929,0.0
202087,50.0
202270,100.0
202498,50.0
202683,50.0
202956,150.0
203176,50.0
203412,50.0
203547,50.0
203706,0.0
203996,100.0
204165,100.0
204329,0.0
204486,100.0
204646,0.0
204797,50.0
205018,150.0
205173,0.0
205371,50.0
205540,0.0
205696,0.0
205918,0.0
206078,0.0
206259,100.0
206523,150.0
206724,0.0
206908,100.0
207067,0.0
207223,0.0
207385,0.0
207549,50.0
207765,50.0
207970,100.0
208210,50.0
208378,100.0
208604,0.0
208786,50.0
209027,50.0
209208,0.0
209368,0.0
209527,0.0
209735,50.0
209941,0.0
210099,100.0
210318,0.0
210582,150.0
210803,100.0
210969,0.0
211134,50.0
211333,0.0
211678,50.0
211901,100.0
212067,100.0
212230,0.0
212387,0.0
212559,100.0
212716,0.0
212934,50.0
213147,50.0
213365,50.0
213523,0.0
213694,0.0
213877,50.0
214052,0.0
214233,50.0
214386,50.0
214738,200.0
215000,200.0
215157,0.0
215357,150.0
215514,0.0
215674,50.0
215871,0.0
216031,0.0
216209,100.0
216465,50.0
216619,0.0
216772,0.0
216993,50.0
217253,50.0
217478,50.0
217663,100.0
217862,50.0
218095,250.0
218277,100.0
218512,100.0
218670,0.0
218893,150.0
219115,50.0
219280,0.0
219527,100.0
219726,0.0
219903,0.0
220103,0.0
220363,0.0
220553,50.0
220774,100.0
220975,50.0
221137,0.0
221300,0.0
221491,0.0
221651,0.0
221863,0.0
222040,0.0
222364,150.0
222578,50.0
222761,0.0
222966,100.0
223228,100.0
223392,0.0
223605,50.0
223852,100.0
224032,50.0
224311,150.0
224463,50.0
224641,50.0
224849,50.0
225004,0.0
225171,0.0
225352,0.0
225554,0.0
225801,100.0
225954,0.0
226107,50.0
226291,0.0
226447,0.0
226648,50.0
226892,50.0
227048,0.0
227284,100.0
227437,50.0
227596,0.0
